,title,price,available_date,listdate,link,location,Location:,contact,description,page_views,Available:,Furnishings:,Ideal tenants:,In the area:,Parking:,Property ID#:,Smoke alarm:,bathrooms,bedrooms
61,Derby St,340,Available Wed 15 Feb,"Listed Thu, 2 Feb",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1254224035.htm,"Porirua, Porirua","Derby St
Porirua
Wellington",Paul,3 bedroom unit with 1 bathroom.Unfurnished 3bdrm unit with off street parking. A pet maybe considered.Handy to local amenities.References required.For an appointment to view go to www.homeads.co.nz and enter ID number: 73242Letting fee appliesJust Realty Ltd - HomeAdsLicensed Agent (REAA 2008)Suitable for up to 5 tenants.Pets Negotiable.Agency reference #: 73242,0724,Wed 15 Feb,Unfurnishe­d,,,Off street,FDM399,,1,3
62,1/19 Newman Terrace,320,Available Wed 1 Feb,"Listed Wed, 1 Feb",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1253771303.htm,"Thorndon, Wellington","1/19 Newman Terrace
Thorndon
Wellington
Wellington",Cora Lee Brooke,"1 bedroom unit with 1 bathroom.Please ensure your inquiries are sent through to Viewing Tracker which you will see at the bottom of this page*************************** **Please don't apply unless you have physically sighted the property **Please also note that only successful applicants will be contactedOne bedroom property located in a fabulous area of Thorndon, Wellington.Inside you have spacious lounge, massive double bedroom, kitchen, and bathroom.NOTE, GARAGE IS RENTED FOR AN EXTRA $50.00 A WEEK.Suitable for up to 2 tenants.No pets or smokers.Agency reference #: MMR47",1056,Wed 1 Feb,"Oven, washing machine",,"Public transport, Thorndon Shops, CBD",street,,,1,1
63,6/8 Leeds Street,335,Available Wed 8 Feb,"Listed Wed, 1 Feb",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1253688969.htm,"Te Aro, Wellington","6/8 Leeds Street
Te Aro
Wellington
Wellington",Tina,"1 bedroom apartment with 1 bathroom.central apartment available, open plan living , spacious living, close to all central amenities , ideal for a coupleViewing scheduled for Thursday , 9 FEB 2017 at 2:30PMSuitable for up to 2 tenants.No pets or smokers.Agency reference #: HC6",0377,Wed 8 Feb,,,all central,,FDL610,Yes,1,1
64,Flat 2/16 Farnham Street,350,Available Fri 10 Feb,"Listed Wed, 1 Feb",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1253677402.htm,"Mornington, Wellington","Flat 2/16 Farnham Street
Mornington
Wellington
Wellington",Reception,"1 bedroom unit with 1 bathroom.** CALL (04) 499 0100 TO SCHEDULE A VIEWING **With the renovation now completed, this spacious property is now ready for you to move in. Located in a quiet bush setting with a shared outdoor area which is maintained by the landlord. Features of this property include:*Queen bedroom with double wardrobe*Spacious lounge *Whiteware included: Washing machine Fridge/freezer and Stove as well as an HRV system.With a bus stop within walking distance and plenty of on street parking available, you will not want to miss out on this lovely property.Please phone our office on 04 4990100 to make an appointment to view this property or book using viewing tracker.Suitable for up to 2 tenants.No pets or smokers.Agency reference #: LQ110743",1014,Fri 10 Feb,"Stove, HRV, Washing Machine, Fridge/fre­ezer",,,(None),,,1,1
65,305a Adelaide Road,320,Available Sat 25 Feb,"Listed Wed, 1 Feb",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1253590902.htm,"Newtown, Wellington","305a Adelaide Road
Newtown
Wellington
Wellington",Harriet Lee,"2 bedroom unit with 1 bathroom.**To see this property please book in at www.lpm.viewingtracker.com (copy and paste this link).**This downstairs flat is in a great location, close to Newtown shops, transport, Wellington Hospital, Wakefield hospital, and short walk to Massey University.  In a private setting away from the street this property, has two double bedroom, open plan living/kitchen and a nice bathroom . You can entertain and enjoy the sun on the large private deck and yard.  Infinity gas hot water system.  Apply online www.lpmproperty.co.nz**To see this property please book in at www.lpm.viewingtracker.com (copy and paste this link).**Suitable for up to 2 tenants.No pets or smokers.Agency reference #: WLP727",3244,Sat 25 Feb,,,,,,,1,2
66,95A Duncan Terrace,340,Available Sat 18 Feb,"Listed Wed, 1 Feb",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1253565367.htm,"Kilbirnie, Wellington","95A Duncan Terrace
Kilbirnie
Wellington
Wellington",Reception,"2 bedroom unit with 1 bathroom.This two bedroom flat features carpet throughout and a fabulous ocean view.New heat pump, fridge/freezer, dishwasher and washing machine  This flat is ideally suited to couples and singles and is available now. $340 pwTo book a viewing of this property, go to http://www.quinovickt.viewingtracker.com (please copy and paste the link) or Click on the 'Book a Viewing' option if you have a Trade Me log in. Suitable for up to 2 tenants.No pets or smokers.Agency reference #: KT130359",2719,Sat 18 Feb,"Fridge/fre­ezer, oven, microwave, dishwasher­, washing machine",,,Not Specified,FDL159,,1,2
67,312/5 Aitkin Street,330,Available Sat 4 Mar,"Listed Wed, 1 Feb",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1253500288.htm,"Thorndon, Wellington","312/5 Aitkin Street
Thorndon
Wellington
Wellington",Chris Wheatley,"1 bedroom apartment with 1 bathroom.Sunny 1 Bedroom Studio AptFully  furnished Apt Open planned kitchen  and living area.Modern  kitchen facilities Modern bathroom with shower box, toilet and vanity unit  This unit is on the front side of the building and gets great sunThe cost of hot water is included in this priceDishwasher (single dish  drawer) Washing machine/dryer, Small fridge, Microwave, T.V, Heater, Double bed, Dining  table  & chair, Stereo, wardrobe. also includes all cutlery and crockery**To view this property you must book in below using the booking form. If on your smart phone please download the Trade Me Property app and book in there. Otherwise go to www.ipsproperty.viewingtracker.com (please copy and paste the link).All interested tenants MUST register online for the property they wish to view. All correspondence about these viewings are done through Viewing Tracker. You will be notified of a time, once it is set, or of cancellations or changes, so it is imperative to register.**Suitable for up to 2 tenants.No pets or smokers.",0386,Sat 4 Mar,Listed above,Profession­al single/cou­ple,"Great location close to railway station and bus station, close  to Parliament and CBD",No off Street parking,FDK881,Yes,1,1
68,3/36 The Parade,350,Available Sat 11 Feb,"Listed Tue, 31 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1253040160.htm,"Island Bay, Wellington","3/36 The Parade
Island Bay
Wellington
Wellington",Anna,"1 bedroom unit with 1 bathroom.Very tidy and decent size back flat shared with 2 other flats.  Great neighbours.This has large kitchen with good cupboard space and Fridge/freezer.Separate living room with heatpump.Large double bedroom.The laundry has washing machine.Nice back courtyard to enjoy the sun.Easy walk to Island Bay Village, puiblic transport and supermarket.Suitable for up to 2 tenants.No pets or smokers.",1336,Sat 11 Feb,"Washing machine, Fridge/Fre­ezer, Heatpump",,Island Bay Shops,,FDK579,Yes,1,1
69,2B/120 The Terrace,325,Available Sat 25 Feb,"Listed Tue, 31 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1252919613.htm,"Wellington Central, Wellington","2B/120 The Terrace
Wellington Central
Wellington
Wellington",Reception,"1 bedroom apartment with 1 bathroom.Fully furnished excellent condition studio apartment. Faces west for good afternoon sun. Small balcony. All whiteware included. 32m2. Extras included: Security system for you to see who is at the front door and buzzing your apartment.  To book a viewing of this property click on the Viewing Tracker box, or go to www.quinovicjohnsonville.viewingtracker.com (please copy and paste the link). Note that you must pre book to attend a viewing as numbers are limited for each appointment. The property may be occupied so please do not go on the property without the viewing agent.Suitable for up to 2 tenants.No pets or smokers.Agency reference #: JV120120",1239,Sat 25 Feb,"Washing machine, dryer, fridge/fre­ezer, dishwasher­, microwave.",,,Not Specified,FDK080,,1,1
70,18A Miranda Street,300,Available Sat 11 Feb,"Listed Tue, 31 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1252746024.htm,"Porirua, Porirua","18A Miranda Street
Porirua
Wellington",Lynette Anquetil,"2 bedroom house with 1 bathroom.VIEWING 10AM MONDAY 6TH FEBRUARY - PLEASE NOTE THIS IS A PUBLIC HOLIDAY.BOOK THROUGH VIEWING TRACKER.Cosy and tidy two bedroom home with separate lounge, eat in kitchen and private courtyard. Lawns done by contractor.Suitable for up to 4 tenants.No pets or smokers.Agency reference #: MIRANDA",2190,Sat 11 Feb,,References required,,Off street for 2 vehicles,FDJ427,Yes,1,2
71,2/85 Warwick Street,310,Available Fri 24 Feb,"Listed Mon, 30 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1252565434.htm,"Wilton, Wellington","2/85 Warwick Street
Wilton
Wellington
Wellington",Cora Lee Brooke,"1 bedroom unit with 1 bathroom.Please ensure your inquiries are sent through to Viewing Tracker which you will see at the bottom of this page*************************** **Please don't apply unless you have physically sighted the property **Please also note that only successful applicants will be contactedBeautiful one bedroom unit is a must see.Middle unit of three positioned down a flight of stairs that is situated in Warwick Street. In the area you have bus stops, Wadestown school & Izard Park.With a short walk down stairs you have a beautiful, modernised property that is private, nestled amongst the bushes which gives you peace, privacy and tranquility as well as having the luxury of having beautiful views which you will never get tired of.When you first walk into the property you come into a small hallway which to the left you have a bathroom, to the right you have a lounge and at the end of the hallway you have a spacious bedroom.Functional kitchen that offers you a free standing oven, L shape bench top and plenty of cupboard space.Spacious as well as open plan living / dining and kitchen which has indoor / outdoor flow to a deck that overlooks the town belt which would be peaceful to sit down to enjoy with an alcoholic beverage.Heading out through the lounge you have a double bedroom with a built in wardrobe.Bathroom you get a shower over bath which is on electric heating, toilet and laundry are all in the same room.Property is sunny and insulated underfloor.Heading outside you have a deck and shared lawn that is maintained by a lawn contractor. If you need to call to discuss this property please call 04 390 0553 otherwise please inquire through viewing tracker which is our preferred approach. Suitable for up to 2 tenants.No pets or smokers.Agency reference #: MMR459",1050,Fri 24 Feb,Oven,,,,,,1,1
72,Maarama Crescent,300,Available Sat 4 Mar,"Listed Mon, 30 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1252292337.htm,"Aro Valley, Wellington","Maarama Crescent
Aro Valley
Wellington
Wellington",,"1 bedroom unit with 1 bathroom.STUDIO BEDSITBeautiful Studio.  Separate Kitchen and Bathroom. Fully Furnished. Very nice views. Lovely Garden. Great Sun all year around. Quiet. Tidy. Chilled place.  Excellent location. Enjoy a great lifestyle full of sleepy weekends or the hustle and bustle of the theatre, cinemas, restaurants, cafes and wine bars. The choice is yours.Rent includes substantial part of your electricity bill.SUITABLE FOR ONE PERSON ONLYVIEWING: Please call to get full address if you wish to view.Suitable for one tenant.No pets or smokers.",1141,Sat 4 Mar,"Wardrobe, Settee, Coffee Table, Lamp, Dining Table, Chairs, Fridge, W/Machine, Dryer etc","Working Professional
University Post Graduate or Lecturer","Cafes, Superette, Fish &amp; Chips. Handy to Bus Stop, City, University and Sunday Fresh Produce Market.",,FDJ178,Yes,1,1
73,305a/170 Taranaki St,350,Available Mon 30 Jan,"Listed Mon, 30 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1252174552.htm,"Wellington Central, Wellington","305a/170 Taranaki St
Wellington Central
Wellington
Wellington",,"1 bedroom apartment with 1 bathroom.This modern fully furnished studio apartment is located in CBD. It is just 5 minutes’ walk to Victoria Architecture School and 10 minutes to Massey University. It closes to CBD as well, restaurant, entertainment, park, beach etc.  A small but smart studio with wardrobe, windows that provide an abundance of light. Good size modern bathroom. Apartment is fully furnished. The power is included in the rent. One fix-term contract. Limited to one tenant.Please email me to book a viewing.Suitable for one tenant.No pets or smokers.",0923,Mon 30 Jan,all,,All,no,FDI973,Yes,1,1
74,2/52 Wright St,350,Available Tue 7 Feb,"Listed Mon, 30 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1252160734.htm,"Mount Cook, Wellington","2/52 Wright St
Mount Cook
Wellington
Wellington",Mariu,"1 bedroom unit with 1 bathroom.A cute studio close to Wellington City and Newtown shops.This has a good sized lounge with adjoining bedroom. Separate kitchen.Bathroom/laundry has a shower, basin and toilet.This home is well worth the view!*** PLEASE BOOK IN WITH THE AGENT TO VIEW THIS HOME ***Suitable for up to 2 tenants.No pets or smokers.",0829,Tue 7 Feb,Oven,2 Years renting history required,"Massey University­, Newtown shops, Wellington City and public transport",1 Off street park,FDI944,Yes,1,1
75,82 Johnsons Road,320,Available Mon 6 Mar,"Listed Sun, 29 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1251812854.htm,"Whitemans Valley, Upper Hutt","82 Johnsons Road
Whitemans Valley
Upper Hutt
Wellington",,"1 bedroom apartment with 1 bathroom.Sadly my lovely long term tenants are off down south. They have loved living here in the peaceful rural setting. The flat is recently renovated and is fully furnished. Approximately 7 minutes to Silverstream Village which boasts a New World, medical centre, pharmacy, cafes, restaurants, pub, dairy and post shop amongst other shops. Warm and cosy flat with its own private deck, and privacy fencing from the main house. Separate driveway from main house. Suit professional couple or single person. Sorry, but non-smoking tenants only :-)NB please note, references required :-)Suitable for up to 2 tenants.Pets negotiable, no smokers.",1711,Mon 6 Mar,"Fully furnished including Fridge, stove, washing machine, microwave.",Profession­al single or couple.,"Silverstre­am Village, schools",No garage,FDI733,Yes,1,1
76,20 Parenga Street,335,Available Fri 10 Feb,"Listed Fri, 27 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1250401054.htm,"Wainuiomata, Lower Hutt","20 Parenga Street
Wainuiomata
Lower Hutt
Wellington",Anna Tonkin,"3 bedroom house with 1 bathroom.This lovely home offers a family living opportunity with three double bedrooms (all have wardrobes) - while one of the bedrooms has outside access.  Kitchen is very spacious and includes a breakfast bar, with electric cooking and a pantry. Separate dining area with an open plan lounge with a woodburner for this winter's comfort.  Storage cupboard in the hall. Bathroom includes a bath and shower while the laundry is separate at the back door. Partially fenced section which has a wood shed out the back along with a workshop. Paved area along with lawn at the front and rear. Open carport with off-street parking for two cars.  No pets. Smoking outside only. Break down of move in costs: 4 weeks bond, 1 weeks rent in advance and a letting fee of 1 weeks rent + GST Out of hours viewings (including weekends) must be made by prior appointmentAgency reference #: CHR935",3237,Fri 10 Feb,,,,,FDH697,,1,3
77,211/15 Holland Street,320,Available Tue 7 Feb,"Listed Fri, 27 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1250391326.htm,"Te Aro, Wellington","211/15 Holland Street
Te Aro
Wellington
Wellington",Kate Shiels-Reddin,"1 bedroom apartment with 1 bathroom.This partly furnished, modern studio apartment is centrally located and within walking distance to Courtenay Place. Furnishings include bed, chest of drawers, wardrobe, dishwasher, washing machine and tumble dryer.No pets or smokers. 12 month fixed term lease preferred.Break down of move in costs: 3 weeks bond, 1 weeks rent in advance plus a letting fee of 1 weeks rent + GSTAfter hours viewings (including weekends) must be made by prior appointment. Agency reference #: CHR1125",0939,Tue 7 Feb,,,,,FDH678,,1,1
78,701aF 168-172 Taranaki Street The Peak,300,Available Sat 11 Feb,"Listed Fri, 27 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1250245243.htm,"Wellington Central, Wellington","701aF 168-172 Taranaki Street The Peak
Wellington Central
Wellington
Wellington",Reception,"1 bedroom apartment with 1 bathroom.Great for those who want to live in this central city apartment.For those who love city dwelling, this is the perfect apartment for you. This  FULLY FURNISHED studio apartment is tastefully decorated throughout with stylish furnishings including all the essentials. It boasts a private  balcony with views.  Located in Taranaki Street, which is a stones throw from Courtenay Place and perfect for a single or professional couple wanting to save precious time.  This central location eliminates the need to commute for those working in the city.To schedule your time to view this little gem of an apartment call (04) 384 2333 today!  Suitable for up to 2 tenants.No pets or smokers.Agency reference #: KT130057",2107,Sat 11 Feb,"Electric Oven, Rangehood, Waste disposer, Fridge, Combinatio­n Washing M/c-Dryer",,,Not Specified,FDH224,,1,1
79,307/35 Abel Smith St,300,Available Mon 20 Feb,"Listed Wed, 25 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1249200867.htm,"Te Aro, Wellington","307/35 Abel Smith St
Te Aro
Wellington
Wellington",Anna,"1 bedroom apartment with 1 bathroom.Tidy FURNISHED STUDIO available in the Southern Cross apartment building on Abel Smith St!So close and handy to Wellington City and all of its amenities.This is a studio - open kitchen, lounge and bedroom all in one.Separate bathroom with shower and toilet.Communal laundry and communal outdoor areas on site.Suitable for one tenant.No pets or smokers.",1198,Mon 20 Feb,Furnished,Single profession­al,Wellington City,no,FDF949,Yes,1,1
80,2/7 Bridge Street,300,Available Thu 16 Feb,"Listed Wed, 25 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1249143006.htm,"Melling, Lower Hutt","2/7 Bridge Street
Melling
Lower Hutt
Wellington",Jenny Burns,"2 bedroom unit with 1 bathroom.Situated in a handy location, close to the train station, easy access to the motorway and within easy walking distance of Lower Hutt city, this is the perfect spot for commuters or a working couple.  Surprisingly spacious, this sunny unit is very well presented and is on the first floor. There are two bedrooms and good living areas. neat and tidy kitchen, bathroom with a shower over the bath, and an internal laundry.   To make an enquiry or to book an appointment, simply click on the Viewing Tracker link and follow the prompts.No pets or smokers.Agency reference #: OXY1914",2977,Thu 16 Feb,"Stove, window dressings, lights, floor coverings",,,Not available,FDF861,,1,2
81,8 McHattie Lane,310,Available Fri 3 Feb,"Listed Wed, 25 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1248976966.htm,"Clouston Park, Upper Hutt","8 McHattie Lane
Clouston Park
Upper Hutt
Wellington",Kerryn Yeats,"2 bedroom unit with 1 bathroom.**When viewing the propriety please DO NOT park in the driveway under any circumstances.This tidy unit offers two double bedrooms with wardrobes in each.The kitchen includes electric cooking. The bathroom has a separate bath and shower and also there are 2 separate toilets -one up and one down!Open plan living with new carpet throughout and a new heatpump for the colder months.Internal access single garage.Fully fenced backyard, great for a summer barbie!No pets. Smoking outside only.Breakdown of move in costs: 4 weeks bond, 1 weeks rent in advance plus a letting fee of 1 weeks rent + GST.Out of hours viewings (including weekends) must be made by prior appointment.Agency reference #: CHR1314",1600,Fri 3 Feb,,,,,FDF158,,1,2
82,10.4A/168-172 Taranaki Street,300,Available Mon 6 Feb,"Listed Wed, 25 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1248976619.htm,"Wellington Central, Wellington","10.4A/168-172 Taranaki Street
Wellington Central
Wellington
Wellington",Property Management Team Property Management Team,"1 bedroom house with 1 bathroom.Studio Apartment in The Peak, Please register to the property online for viewing times.No pets or smokers.Agency reference #: WEL281",1848,Mon 6 Feb,,,,,,,1,1
83,15 Puriri Cres,340,Available Fri 3 Mar,"Listed Wed, 25 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258453755.htm,"Masterton, Masterton","15 Puriri Cres
Masterton
Wellington",,"3 bedroom house with 2 bathrooms.Warm sunny & spacious house with huge storage space & garaging. heated by log fire. Available early/mid March. Large master bedroom with en suite, Insulated, internal garage. Thanks for looking.Suitable for up to 6 tenants.Pets negotiable, no smokers.",0047,Fri 3 Mar,Dishwasher,Reliable tidy working couple/fam­ily,Hospital &amp; schools,2 car garage &amp; 2 car arport,FDF108,Yes,2,3
84,3 Jackson Street,320,Available Mon 30 Jan,"Listed Wed, 25 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1248903338.htm,"Masterton, Masterton","3 Jackson Street
Masterton
Wellington",Kristina Romijn,"2 bedroom apartment with 1 bathroom.This 2 bedroom apartment is located in town with open plan kitchen and living room, internal laundry with washing machine and dryer and seperate bathroom. The apartment has double glazing, dishwasher & new blinds. This property has no parking and has no out door living. Suitable for up to 3 tenants.No pets or smokers.Agency reference #: 3 Jackson Street",1792,Mon 30 Jan,"Washing machine, dryer, dishwasher­, oven, stove top",Suit mature couple or 2 singles,Very close to town,No Parking,FDE906,Yes,1,2
85,509- 35 Abel Smith St,350,Available Fri 27 Jan,"Listed Tue, 24 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1248334437.htm,"Te Aro, Wellington","509- 35 Abel Smith St
Te Aro
Wellington
Wellington",Reception,1 bedroom apartment with 1 bathroom.Fantastic location- short stroll to Cuba and a few minutes to Courtenay Street. This furnished studio apartment is ready to go. situated in the popular Southern Cross apartments building. Views over the city. Five SKY channel included.Please note that the owner may consider a shorter term for this property- eg. 3 month term to a suitable applicant. No pets or smokers.Agency reference #: TN910101,0950,Fri 27 Jan,"Smart TV, Microwave, Dishwasher OR Oven, Fridge, Heater",,,Not Specified,,,1,1
86,Island Bay,250,Available Tue 7 Feb,"Listed Tue, 24 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1257571573.htm,"Island Bay, Wellington","Island Bay
Wellington
Wellington",,"1 bedroom unit with 1 bathroom.I have a single bedroom available on the bottom floor which is self contained and furnished. Looking for a single tenant, preferably female, with a drivers' license because I'm blind.Please don't make contact through email as I won't be able to receive it. The best thing to do if you would like to apply for the flat would be to give the number a ring.Suitable for one tenant.No pets or smokers.",0076,Tue 7 Feb,,"Single tenant, preferably female.",Medical Centre   Chemist   Restaura­nt   New World ( 2 Minute walk),Parking available on the road.,FDD551,Yes,1,1
87,"14 Temuera Street,",300,Available Sun 12 Feb,"Listed Mon, 23 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1247532684.htm,"Otaki, Kapiti Coast","14 Temuera Street,
Otaki
Kapiti Coast
Wellington",,"3 bedroom house with 1 bathroom.3 bedroom house with 1 bathroom.This very tidy, quiet two bedroom home is perfect if you want comfort and to be close to town.Separate Kitchen with dining area.Separate lounge area All 3 bedrooms are of a good size and very tidy.Modern bathroom with shower,Separate toilet and vanity.Separate laundry area.Fully fenced with Large back yard of fruit treesPlease call Chang for viewing :027 8430736 Smokers OK, no pets",1982,Sun 12 Feb,,,,Carport and street parking,FDC452,Yes,1,3
88,187 Peka Peka Road,350,Available Sun 5 Feb,"Listed Sat, 21 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1256467022.htm,"Peka Peka, Kapiti Coast","187 Peka Peka Road
Peka Peka
Kapiti Coast
Wellington",,"1 bedroom apartment with 1 bathroom.Beautiful apartment overlooking the ocean. Sunny and bright ,just 1 km walk from the beach. Attached to our main house ,however separate and private with own entrance.Ideally suited to someone looking to spend week days working on the Coast.Suitable for up to 2 tenants.No pets or smokers.",0184,Sun 5 Feb,"Has a fridge, freezer, microwave, one hot plate, access to BBQ and washer and dryer.",Someone working week days in the kapiti area,1 Klm from beach and 4 klm from Waikanae,Outside parking,FDB876,Yes,1,1
89,Mill Road,310,Available Tue 7 Feb,"Listed Fri, 20 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1245773048.htm,"Otaki, Kapiti Coast","Mill Road
Otaki
Kapiti Coast
Wellington",Joanne Saunders,"3 bedroom house with 2 bathrooms.3 Bedroom home with ensuite, separate toilet, bath, laundry, separate kitchen, dining room and lounge.  Fully fenced section with large single garage plus workshop.Lawns and water included in rent.Walking distance to schools, station and shops.Please email or ring to arrange viewing time.Agency reference #: Mi282",2279,Tue 7 Feb,,,,,FDB075,,2,3
90,19 Collins Avenue,350,Available Wed 15 Feb,"Listed Fri, 20 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1245652221.htm,"Tawa, Wellington","19 Collins Avenue
Tawa
Wellington
Wellington",Madeleine van Rooyen,"1 bedroom apartment with 1 bathroom.Please book through viewing tracker!Brand new, modern one bedroom apartment with off street parking, close to rail, local shops and doctors.Suitable for up to 2 tenants.No pets or smokers.Agency reference #: Collins 19",1134,Wed 15 Feb,unfurnishe­d,References required,,off street,FDA659,,1,1
91,107/11-21 Holland Street,300,Available Fri 20 Jan,"Listed Fri, 20 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1245603469.htm,"Te Aro, Wellington","107/11-21 Holland Street
Te Aro
Wellington
Wellington",Sam Halliday,"1 bedroom apartment with 1 bathroom.This modern furnished self contained STUDIO apartment is located in popular Monvie Apartments in Holland Street.Features include separate bathroom, open plan living (with a balcony) adjacent to a fully equipped kitchen with laundry alcove, plus a modern bathroom.  It comes complete with cooking facilities, dishwasher, microwave, fridge and a combination washing machine/dryer. Resident access to the building is by FOB which is also required to gain access to the lifts and stairway.The common areas are cleaned daily for the tenants and there is gas hot water.Close to the Courtenay Place entertainment hub and an easy walk to the CBD, city and water front. Situated amongst cafes, theatres and retail stores this fully furnished apartment is perfect for professionals.To make an enquiry or to book an appointment to view, simply click on the Viewing Tracker link and follow the prompts.No pets or smokers.Agency reference #: OXY4672",1975,Fri 20 Jan,Furnished,,"Close to the Courtenay Place entertainm­ent hub and an easy walk to the CBD, city and water front",Not entered,,,1,1
92,126 The Terrace,350,Available Thu 2 Mar,"Listed Thu, 19 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1258163405.htm,"Wellington Central, Wellington","126 The Terrace
Wellington Central
Wellington
Wellington",,1 bedroom apartment with 1 bathroom.FULLY FURNISHED APARTMENT- Great Central Location-1st Floor Apartment- separate bedroom (not a studio)- Double GlazingPhone 027 246 0877 to viewNo pets.,0039,Thu 2 Mar,,,,,FDA447,Yes,1,1
93,34 Northumberland Street,350,Available Sat 4 Feb,"Listed Thu, 19 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1255157599.htm,"Porirua East, Porirua","34 Northumberland Street
Porirua East
Porirua
Wellington",Charmaine Jones,3 bedroom house with 1 bathroom.3 bedrooms Separate laundry with extra storage space underneath the house.Big section Awesome outlook Off street parking Close to Glenview School Currently being repainted insideNew carpet to be laidAvailable early FebSuitable for up to 4 tenants.No pets or smokers.Agency reference #: NORTHUMBERLAND,0807,Sat 4 Feb,Unfurnishe­d,References required,"Handy to Glenview School, walking distance to Cannons Creek pool.",Off Street Parking,FCZ656,,1,3
94,67b Ruapehu Street,340,Available Wed 1 Feb,"Listed Wed, 18 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1244351218.htm,"Paraparaumu, Kapiti Coast","67b Ruapehu Street
Paraparaumu
Kapiti Coast
Wellington",Zoe Pothoven,"3 bedroom house with 1 bathroom.**To see this property please book in at www.lpm.viewingtracker.com (please copy and paste this link).** Tidy three bedroom home situated in a great neighbourhood.  It is close to the train stations, schools and the mall.Spacious kitchen with plenty of storage a bench space. Three double bedrooms.  Modern bathroom, with separate toilet, and separate laundry.Cats okay.Apply online www.lpmproperty.co.nz**To see this property please book in at www.lpm.viewingtracker.com (please copy and paste this link).**Suitable for up to 4 tenants.No pets or smokers.Agency reference #: WLP1778",3008,Wed 1 Feb,,,,Carport,,,1,3
95,12a Field Street,300,Available Tue 17 Jan,"Listed Tue, 17 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1243773710.htm,"Silverstream, Upper Hutt","12a Field Street
Silverstream
Upper Hutt
Wellington",Lydia Deakin,1 bedroom house with 1 bathroom.Just a short drive from the Motorway is this immaculate stand alone one bedroom flat. Gets great sun that can be enjoyed from the deck or flat lawn. Would be perfect for a busy professional single.Features include:- 1 Bedroom- 1 Bathroom- Deck- Conservatory / laundry- Great kitchenPlease book to view on viewing tracker or call / text 021 964 909 to find out moreSuitable for up to 2 tenants.No pets or smokers.Agency reference #: RYP495,3440,Tue 17 Jan,whiteware negotiable,,"Near supermarke­ts, resturants­, and Silverstre­am Station",Street Parking only,,,1,1
96,100B Aro Street,350,Available Tue 17 Jan,"Listed Tue, 17 Jan",http://www.trademe.co.nz/property/residential-property-to-rent/auction-1243591101.htm,"Aro Valley, Wellington","100B Aro Street
Aro Valley
Wellington
Wellington",Cora Lee Brooke,"1 bedroom house with 1 bathroom.Please ensure your inquiries are sent through to Viewing Tracker which you will see at the bottom of this page*************************** **Please don't apply unless you have physically sighted the property **Please also note that only successful applicants will be contactedFantastic one bedroom cottage located in an excellent  area of Aro Valley.Step inside this two level  house and you get a modernised kitchen with a fridge/freezer and washing machine and spacious lounge and diningUpstairs you get a large bedroom that has French doors out onto a nice deck that gets plenty of sun.In the bathroom you get a shower with great water pressure, modernised vanity and toiletThis property is insulated and gets a tremendous amount of sun and is close to all amenities.Suitable for up to 2 tenants.No pets or smokers.Agency reference #: MMR298",3452,Tue 17 Jan,"Oven, fridge/fre­ezer, washing machine",,"Shops, transport",,FCX045,,1,1
